pair,count
"('isnt', 'reason')",4
"('reason', 'say')",4
"('know', 'reason')",7
"('good', 'reason')",13
"('need', 'reason')",3
"('reason', 'wrong')",6
"('par', 'reason')",5
"('choice', 'reason')",39
"('creating', 'reason')",4
"('hard', 'reason')",30
"('kind', 'reason')",3
"('enough', 'people')",4
"('people', 'person')",8
"('isnt', 'people')",3
"('people', 'say')",6
"('know', 'people')",14
"('good', 'people')",8
"('need', 'people')",4
"('par', 'people')",3
"('choice', 'people')",28
"('kind', 'people')",5
"('enough', 'say')",3
"('enough', 'good')",3
"('enough', 'perhaps')",3
"('choice', 'enough')",5
"('enough', 'hard')",4
"('person', 'say')",3
"('good', 'person')",4
"('need', 'person')",3
"('choice', 'person')",21
"('creating', 'person')",3
"('kind', 'person')",7
"('isnt', 'know')",4
"('good', 'isnt')",3
"('choice', 'isnt')",8
"('hard', 'isnt')",5
"('know', 'say')",11
"('good', 'say')",6
"('perhaps', 'say')",3
"('need', 'say')",6
"('say', 'wrong')",3
"('choice', 'say')",19
"('hard', 'say')",13
"('kind', 'say')",3
"('know', 'wrong')",4
"('choice', 'know')",34
"('kind', 'know')",4
"('good', 'wrong')",3
"('choice', 'good')",21
"('good', 'kind')",4
"('banker', 'choice')",4
"('choice', 'need')",19
"('kind', 'need')",3
"('choice', 'wrong')",13
"('hard', 'wrong')",8
"('kind', 'wrong')",3
"('choice', 'par')",9
"('hard', 'par')",5
"('choice', 'creating')",5
"('choice', 'kind')",10
"('ask', 'choice')",7
"('hard', 'kind')",7
"('create', 'make')",14
"('create', 'tell')",3
"('create', 'power')",11
"('create', 'right')",4
"('create', 'path')",3
"('create', 'decision')",9
"('create', 'one')",8
"('make', 'matter')",6
"('matter', 'wrong')",3
"('choice', 'matter')",7
"('decision', 'matter')",7
"('matter', 'one')",4
"('make', 'tell')",5
"('make', 'power')",8
"('make', 'wrong')",5
"('happy', 'make')",5
"('choice', 'make')",102
"('make', 'right')",15
"('make', 'path')",7
"('make', 'work')",12
"('make', 'one')",29
"('choice', 'tell')",6
"('one', 'tell')",4
"('choice', 'power')",14
"('power', 'right')",3
"('decision', 'power')",5
"('one', 'power')",7
"('right', 'wrong')",6
"('path', 'wrong')",3
"('work', 'wrong')",4
"('decision', 'wrong')",7
"('one', 'wrong')",7
"('choice', 'happy')",4
"('happy', 'right')",3
"('happy', 'one')",3
"('choice', 'right')",19
"('choice', 'path')",12
"('choice', 'work')",17
"('choice', 'decision')",44
"('choice', 'one')",53
"('path', 'right')",3
"('right', 'work')",4
"('one', 'right')",10
"('decision', 'path')",4
"('one', 'path')",3
"('decision', 'work')",7
"('one', 'work')",7
"('decision', 'one')",16
"('choose', 'create')",9
"('create', 'sense')",3
"('create', 'like')",6
"('create', 'life')",5
"('create', 'feel')",4
"('based', 'create')",4
"('choose', 'self')",3
"('get', 'self')",3
"('self', 'sense')",3
"('like', 'self')",4
"('life', 'self')",5
"('choose', 'value')",9
"('get', 'value')",4
"('sense', 'value')",3
"('moment', 'value')",3
"('like', 'value')",9
"('life', 'value')",8
"('v', 'value')",4
"('based', 'value')",6
"('life', 'living')",5
"('choose', 'get')",7
"('choose', 'quite')",3
"('choose', 'reality')",3
"('choose', 'rather')",3
"('choose', 'dont')",18
"('choose', 'well')",3
"('choose', 'like')",11
"('choose', 'reason')",13
"('choose', 'life')",14
"('choose', 'feel')",5
"('choose', 'v')",3
"('choose', 'good')",10
"('based', 'choose')",6
"('choose', 'free')",4
"('choose', 'kind')",4
"('get', 'sense')",3
"('get', 'quite')",4
"('get', 'reality')",4
"('dont', 'get')",23
"('get', 'well')",5
"('get', 'like')",18
"('get', 'thanks')",3
"('get', 'reason')",8
"('get', 'life')",14
"('feel', 'get')",7
"('get', 'good')",6
"('based', 'get')",3
"('dont', 'function')",3
"('rather', 'sense')",3
"('dont', 'sense')",5
"('like', 'sense')",6
"('reason', 'sense')",4
"('life', 'sense')",8
"('feel', 'sense')",4
"('life', 'recognize')",3
"('good', 'recognize')",3
"('based', 'recognize')",3
"('like', 'quite')",5
"('quite', 'reason')",4
"('life', 'quite')",4
"('feel', 'quite')",4
"('free', 'quite')",3
"('like', 'reality')",3
"('life', 'reality')",4
"('like', 'moment')",4
"('life', 'moment')",4
"('society', 'well')",3
"('life', 'society')",3
"('like', 'rather')",5
"('life', 'rather')",6
"('feel', 'rather')",4
"('good', 'subjectivity')",3
"('dont', 'like')",26
"('dont', 'result')",3
"('dont', 'feel')",12
"('dont', 'follow')",3
"('based', 'dont')",9
"('dont', 'place')",3
"('like', 'well')",7
"('feel', 'well')",3
"('based', 'well')",3
"('like', 'thanks')",6
"('like', 'reason')",12
"('like', 'result')",3
"('life', 'like')",22
"('like', 'response')",3
