pair,count
"('end', 'pull')",3
"('pull', 'would')",6
"('faster', 'pull')",3
"('gravity', 'pull')",10
"('need', 'pull')",4
"('may', 'pull')",4
"('ive', 'term')",3
"('inside', 'term')",4
"('something', 'term')",3
"('doesnt', 'term')",3
"('speed', 'term')",3
"('spin', 'term')",3
"('normal', 'term')",3
"('hole', 'term')",13
"('term', 'within')",4
"('point', 'term')",6
"('far', 'term')",4
"('go', 'term')",4
"('every', 'term')",4
"('particle', 'term')",7
"('imagine', 'term')",4
"('even', 'term')",6
"('energy', 'term')",8
"('could', 'term')",5
"('dont', 'term')",6
"('take', 'term')",6
"('distance', 'term')",5
"('like', 'term')",10
"('break', 'term')",3
"('horizon', 'term')",5
"('field', 'term')",4
"('hawking', 'term')",5
"('going', 'term')",5
"('relative', 'term')",4
"('etc', 'term')",4
"('earth', 'term')",4
"('light', 'term')",7
"('get', 'term')",4
"('start', 'term')",3
"('center', 'term')",3
"('hope', 'term')",4
"('core', 'term')",3
"('see', 'term')",6
"('black', 'term')",13
"('cant', 'term')",5
"('force', 'term')",5
"('make', 'term')",4
"('physic', 'term')",7
"('direction', 'term')",4
"('mass', 'term')",7
"('everything', 'term')",4
"('radiation', 'term')",6
"('space', 'term')",8
"('term', 'time')",12
"('sense', 'term')",4
"('due', 'term')",5
"('back', 'term')",5
"('term', 'well')",3
"('put', 'term')",3
"('reach', 'term')",3
"('term', 'think')",7
"('term', 'thing')",6
"('know', 'term')",7
"('look', 'term')",5
"('end', 'term')",5
"('term', 'would')",6
"('gravity', 'term')",6
"('need', 'term')",5
"('term', 'wave')",3
"('may', 'term')",5
"('deeper', 'little')",3
"('deeper', 'ive')",3
"('deeper', 'inside')",4
"('come', 'deeper')",3
"('deeper', 'something')",8
"('deeper', 'hole')",11
"('deeper', 'within')",7
"('deeper', 'point')",4
"('deeper', 'smaller')",3
"('deeper', 'far')",3
"('deeper', 'go')",7
"('deeper', 'sucked')",3
"('deeper', 'every')",5
"('deeper', 'particle')",6
"('deeper', 'imagine')",3
"('deeper', 'even')",5
"('deeper', 'energy')",5
"('deeper', 'explained')",3
"('could', 'deeper')",5
"('deeper', 'dont')",3
"('deeper', 'take')",3
"('deeper', 'distance')",3
"('deeper', 'like')",10
"('deeper', 'horizon')",5
"('deeper', 'field')",3
"('deeper', 'thinking')",4
"('deeper', 'hawking')",4
"('always', 'deeper')",4
"('deeper', 'earth')",3
"('deeper', 'light')",5
"('deeper', 'get')",5
"('deeper', 'thought')",5
"('core', 'deeper')",3
"('deeper', 'thats')",4
"('deeper', 'separated')",3
"('deeper', 'see')",5
"('deeper', 'maybe')",3
"('black', 'deeper')",12
"('deeper', 'force')",5
"('deeper', 'make')",5
"('deeper', 'physic')",5
"('deeper', 'mass')",5
"('deeper', 'fall')",4
"('deeper', 'flow')",3
"('deeper', 'radiation')",4
"('deeper', 'space')",11
"('deeper', 'time')",9
"('deeper', 'yet')",3
"('deeper', 'due')",3
"('back', 'deeper')",4
"('deeper', 'think')",8
"('deeper', 'thing')",5
"('deeper', 'ever')",3
"('deeper', 'know')",6
"('deeper', 'look')",3
"('deeper', 'end')",4
"('deeper', 'would')",4
"('deeper', 'gravity')",8
"('deeper', 'wave')",4
"('little', 'something')",3
"('falling', 'little')",3
"('doesnt', 'little')",3
"('hole', 'little')",9
"('go', 'little')",4
"('every', 'little')",3
"('little', 'particle')",8
"('even', 'little')",3
"('energy', 'little')",3
"('could', 'little')",4
"('dont', 'little')",5
"('like', 'little')",7
"('little', 'stop')",3
"('describe', 'little')",3
"('little', 'thinking')",6
"('always', 'little')",3
"('light', 'little')",4
"('get', 'little')",5
"('little', 'theyre')",3
"('center', 'little')",3
"('little', 'thats')",4
"('little', 'maybe')",4
"('black', 'little')",8
"('cant', 'little')",5
"('away', 'little')",3
"('force', 'little')",4
"('little', 'make')",7
"('little', 'mass')",4
"('everything', 'little')",3
"('little', 'space')",3
"('little', 'time')",6
"('little', 'sense')",3
"('back', 'little')",4
"('little', 'well')",3
"('little', 'mind')",3
"('little', 'put')",3
"('little', 'think')",7
"('little', 'probably')",3
"('little', 'thing')",6
"('ever', 'little')",3
"('know', 'little')",6
"('little', 'would')",4
"('gravity', 'little')",5
"('inside', 'ive')",4
"('come', 'ive')",4
"('ive', 'something')",8
"('falling', 'ive')",3
"('doesnt', 'ive')",3
"('ive', 'speed')",5
"('hole', 'ive')",34
"('ive', 'point')",4
"('far', 'ive')",4
"('go', 'ive')",4
"('every', 'ive')",6
"('ive', 'particle')",8
"('even', 'ive')",8
"('energy', 'ive')",10
"('explained', 'ive')",3
"('could', 'ive')",7
"('dont', 'ive')",12
"('ive', 'take')",6
"('distance', 'ive')",3
"('ive', 'like')",15
"('horizon', 'ive')",5
"('field', 'ive')",6
"('describe', 'ive')",3
"('ive', 'perhaps')",3
"('ive', 'thinking')",4
"('done', 'ive')",3
"('hawking', 'ive')",4
"('going', 'ive')",5
"('etc', 'ive')",3
"('always', 'ive')",8
"('ive', 'light')",7
"('ive', 'longer')",4
"('get', 'ive')",11
"('ive', 'quite')",4
"('ive', 'theyre')",3
"('center', 'ive')",4
"('ive', 'thought')",4
"('hope', 'ive')",3
"('core', 'ive')",3
"('ive', 'thats')",6
"('ive', 'separated')",3
"('ive', 'see')",7
"('ive', 'maybe')",5
"('black', 'ive')",34
"('cant', 'ive')",5
"('away', 'ive')",6
"('force', 'ive')",4
"('ive', 'make')",4
"('ive', 'physic')",6
"('direction', 'ive')",4
"('ive', 'mass')",6
"('everything', 'ive')",6
"('ive', 'radiation')",5
"('ive', 'space')",12
"('ive', 'time')",23
"('ive', 'yet')",4
"('ive', 'sense')",5
"('due', 'ive')",4
"('back', 'ive')",8
"('ive', 'well')",6
"('ive', 'mind')",3
"('ive', 'said')",3
"('ive', 'think')",7
"('ive', 'probably')",3
"('ive', 'thing')",12
"('ever', 'ive')",11
"('ive', 'know')",7
"('infinitely', 'ive')",3
"('ive', 'look')",3
"('end', 'ive')",4
"('ive', 'would')",8
"('gravity', 'ive')",8
"('got', 'ive')",6
"('high', 'ive')",3
"('ive', 'need')",3
"('ive', 'wave')",3
"('ive', 'may')",4
"('ive', 'youre')",3
"('something', 'water')",3
"('speed', 'water')",3
"('magnetic', 'water')",3
"('hole', 'water')",7
"('point', 'water')",3
"('go', 'water')",3
"('every', 'water')",4
"('particle', 'water')",4
"('even', 'water')",3
"('energy', 'water')",4
"('could', 'water')",4
"('dont', 'water')",3
"('take', 'water')",4
"('like', 'water')",8
