pair,count
"('crispr', 'make')",3
"('going', 'make')",8
"('im', 'make')",9
"('dont', 'understand')",6
"('dont', 'still')",4
"('making', 'video')",3
"('change', 'understand')",3
"('could', 'understand')",3
"('new', 'u')",7
"('explained', 'well')",3
"('long', 'want')",4
"('know', 'want')",7
"('time', 'want')",9
"('really', 'want')",7
"('know', 'took')",3
"('know', 'long')",6
"('long', 'time')",9
"('long', 'video')",3
"('know', 'watching')",3
"('know', 'simple')",3
"('understand', 'video')",3
"('time', 'watching')",4
"('video', 'watching')",3
"('time', 'video')",4
"('helpful', 'video')",5
"('simple', 'video')",3
"('human', 'power')",3
"('power', 'world')",4
"('one', 'power')",5
"('make', 'power')",6
"('going', 'power')",3
"('human', 'top')",3
"('human', 'world')",3
"('enough', 'human')",3
"('evolution', 'human')",4
"('human', 'make')",4
"('going', 'human')",4
"('top', 'yet')",4
"('world', 'yet')",6
"('evolution', 'yet')",3
"('one', 'yet')",4
"('make', 'yet')",3
"('going', 'yet')",4
"('really', 'yet')",3
"('many', 'year')",6
"('world', 'year')",4
"('scientist', 'year')",4
"('one', 'year')",15
"('make', 'year')",8
"('million', 'year')",6
"('going', 'year')",7
"('really', 'year')",5
"('china', 'many')",3
"('many', 'top')",3
"('could', 'many')",6
"('many', 'world')",3
"('many', 'scientist')",4
"('enough', 'many')",3
"('many', 'one')",3
"('many', 'really')",3
"('top', 'world')",5
"('evolution', 'top')",5
"('one', 'top')",5
"('top', 'wrong')",3
"('could', 'scientist')",3
"('could', 'enough')",4
"('could', 'make')",10
"('could', 'wrong')",3
"('could', 'going')",3
"('could', 'really')",7
"('going', 'turn')",3
"('enough', 'world')",3
"('evolution', 'world')",3
"('one', 'world')",10
"('make', 'world')",5
"('going', 'world')",6
"('enough', 'good')",3
"('enough', 'make')",5
"('enough', 'wrong')",4
"('enough', 'going')",3
"('evolution', 'one')",5
"('good', 'one')",4
"('good', 'make')",4
"('going', 'good')",4
"('make', 'one')",10
"('one', 'wrong')",5
"('million', 'one')",4
"('going', 'one')",5
"('make', 'technology')",3
"('make', 'really')",9
"('going', 'really')",3
"('risk', 'take')",3
"('grow', 'take')",3
"('human', 'used')",3
"('sense', 'start')",3
"('like', 'sense')",7
"('make', 'sense')",8
"('really', 'sense')",4
"('could', 'start')",4
"('start', 'used')",3
"('like', 'start')",3
"('make', 'start')",4
"('cause', 'like')",4
"('could', 'like')",13
"('make', 'used')",4
"('like', 'wow')",3
"('like', 'make')",15
"('like', 'potential')",3
"('come', 'might')",4
"('come', 'really')",3
"('might', 'really')",5
"('factor', 'good')",3
"('know', 'program')",3
"('killed', 'way')",3
"('cause', 'know')",3
"('survive', 'way')",3
"('lot', 'survive')",3
"('help', 'hope')",5
"('hope', 'know')",3
"('hope', 'way')",3
"('help', 'people')",6
"('know', 'people')",9
"('away', 'people')",4
"('exist', 'people')",3
"('lot', 'people')",4
"('people', 'really')",6
"('kind', 'people')",3
"('help', 'know')",6
"('help', 'using')",3
"('help', 'really')",4
"('help', 'kind')",3
"('risk', 'way')",4
"('really', 'risk')",3
"('know', 'way')",8
"('away', 'know')",4
"('good', 'know')",4
"('exist', 'know')",3
"('using', 'way')",6
"('really', 'using')",4
"('good', 'way')",5
"('lot', 'way')",3
"('virus', 'way')",3
"('really', 'way')",7
"('kind', 'way')",3
"('away', 'far')",5
"('good', 'kind')",4
"('lot', 'really')",3
"('helpful', 'im')",3
"('explanation', 'understand')",3
"('im', 'since')",3
