pair,count
"('depth', 'video')",3
"('make', 'video')",16
"('going', 'video')",4
"('gene', 'thank')",3
"('thank', 'using')",4
"('going', 'thank')",3
"('class', 'student')",6
"('crispr', 'student')",3
"('going', 'student')",3
"('im', 'student')",5
"('gene', 'system')",9
"('gene', 'make')",6
"('class', 'system')",3
"('class', 'crispr')",4
"('class', 'going')",3
"('class', 'im')",7
"('system', 'using')",3
"('crispr', 'using')",4
"('im', 'using')",4
"('make', 'system')",8
"('crispr', 'make')",12
"('crispr', 'knockout')",4
"('crispr', 'going')",4
"('crispr', 'im')",12
"('im', 'make')",8
"('im', 'knockout')",3
"('going', 'im')",4
"('mr', 'student')",3
"('anderson', 'mr')",3
"('dont', 'understand')",9
"('dont', 'still')",4
"('still', 'understand')",5
"('making', 'thanks')",6
"('making', 'video')",10
"('awesome', 'video')",12
"('could', 'understand')",7
"('crispr', 'technology')",8
"('crispr', 'explained')",3
"('crispr', 'explaining')",6
"('technology', 'thank')",3
"('explained', 'thank')",12
"('explained', 'perfectly')",6
"('go', 'thank')",4
"('nice', 'thanks')",7
"('many', 'thanks')",7
"('cool', 'video')",4
"('dna', 'explain')",4
"('dna', 'someone')",3
"('added', 'dna')",5
"('complex', 'dna')",3
"('complex', 'insert')",3
"('ca', 'complex')",4
"('ca', 'new')",6
"('new', 'u')",4
"('cutting', 'insert')",3
"('ca', 'cutting')",5
"('fast', 'little')",3
"('explained', 'topic')",5
"('topic', 'well')",4
"('explained', 'well')",13
"('crispr', 'simple')",6
"('ca', 'simple')",3
"('complicated', 'understand')",3
"('complicated', 'video')",3
"('know', 'want')",3
"('understand', 'want')",4
"('video', 'want')",3
"('really', 'want')",3
"('dna', 'spacer')",8
"('spacer', 'time')",3
"('took', 'understand')",3
"('time', 'took')",3
"('know', 'watching')",3
"('dna', 'understand')",5
"('dna', 'time')",6
"('dna', 'video')",9
"('understand', 'watching')",3
"('understand', 'video')",23
"('helpful', 'understand')",7
"('simple', 'understand')",6
"('reading', 'video')",7
"('video', 'watching')",12
"('time', 'video')",13
"('helpful', 'time')",5
"('helpful', 'video')",35
"('simple', 'video')",12
"('really', 'simple')",4
"('helpful', 'simple')",3
"('perfect', 'thank')",4
"('enough', 'human')",3
"('human', 'make')",3
"('going', 'human')",6
"('year', 'yet')",3
"('make', 'yet')",3
"('going', 'year')",5
"('many', 'one')",3
"('many', 'really')",3
"('could', 'make')",10
"('could', 'really')",9
"('good', 'one')",7
"('good', 'make')",4
"('one', 'technology')",6
"('make', 'technology')",3
"('really', 'technology')",4
"('make', 'really')",4
"('going', 'really')",3
"('cure', 'take')",3
"('cause', 'human')",4
"('could', 'sense')",3
"('crispr', 'sense')",3
"('make', 'sense')",6
"('cause', 'crispr')",4
"('cause', 'really')",3
"('could', 'like')",5
"('could', 'crispr')",8
"('crispr', 'used')",8
"('make', 'used')",5
"('like', 'make')",6
"('crispr', 'wow')",4
"('make', 'wow')",3
"('crispr', 'super')",3
"('dna', 'repair')",3
"('cause', 'dna')",3
"('disease', 'dna')",5
"('dna', 'help')",3
"('dna', 'using')",4
"('dna', 'way')",3
"('dna', 'virus')",8
"('dna', 'far')",3
"('crispr', 'tool')",3
"('genetic', 'know')",4
"('crispr', 'genetic')",3
"('genetic', 'virus')",3
"('hope', 'lot')",3
"('disease', 'help')",4
"('disease', 'know')",3
"('disease', 'using')",3
"('disease', 'good')",3
"('disease', 'working')",3
"('crispr', 'disease')",4
"('disease', 'virus')",3
"('help', 'people')",3
"('know', 'people')",6
"('people', 'way')",3
"('people', 'really')",4
"('help', 'know')",5
"('help', 'way')",3
"('help', 'lot')",4
"('help', 'virus')",3
"('help', 'really')",4
"('computer', 'way')",3
"('cell', 'know')",6
"('know', 'using')",3
"('know', 'way')",4
"('know', 'virus')",4
"('cell', 'good')",3
"('cell', 'virus')",7
"('cell', 'kind')",4
"('good', 'way')",3
"('virus', 'way')",5
"('really', 'way')",5
"('crispr', 'working')",6
"('crispr', 'lot')",7
"('crispr', 'virus')",8
"('lot', 'really')",7
"('far', 'really')",3
"('helpful', 'watched')",3
"('understand', 'watched')",6
"('im', 'watched')",4
"('school', 'watched')",3
"('explanation', 'helpful')",9
"('helpful', 'im')",5
"('helpful', 'school')",3
"('explanation', 'understand')",6
"('explanation', 'school')",4
"('since', 'understand')",3
"('im', 'since')",5
"('since', 'thank')",4
"('school', 'since')",3
"('school', 'understand')",3
"('im', 'school')",5
"('school', 'thank')",5
"('crispr', 'understood')",8
"('crispr', 'explanation')",15
"('explanation', 'really')",7
"('crispr', 'great')",17
"('crispr', 'finally')",8
"('great', 'learn')",3
"('finally', 'im')",5
"('finally', 'really')",4
"('simple', 'thank')",7
"('clear', 'explanation')",14
"('clear', 'much')",6
"('clear', 'thank')",12
"('like', 'two')",4
"('seen', 'show')",3
"('amazing', 'understand')",3
"('helped', 'understanding')",5
"('im', 'understanding')",4
"('really', 'understanding')",5
"('awesome', 'helped')",3
"('awesome', 'right')",3
"('awesome', 'really')",3
"('im', 'right')",4
"('im', 'taking')",3
"('im', 'material')",3
"('complex', 'topic')",3
"('complex', 'great')",3
"('complex', 'video')",11
"('complex', 'thank')",5
"('great', 'topic')",6
"('thank', 'topic')",10
"('saw', 'video')",4
"('understandable', 'video')",6
"('thank', 'understandable')",4
"('sharing', 'thank')",3
"('nice', 'thank')",5
"('technology', 'vaccine')",3
"('made', 'technology')",3
