comment,cleaned_comment
What a simple and clear explanation! Thank you very much!,simple clear explanation thank much
crRna is like a sea otter chipping its prey in two with a stone it holds in its tiny hands whilst floating on its back in the sea,crrna like sea otter chipping prey two stone hold tiny hand whilst floating back sea
Verry helpful and a welcome addition to the shows seen on PBS.,verry helpful welcome addition show seen pb
this was the most amazing explanation. I completely understand now,amazing explanation completely understand
Awesome job! I'm taking genetics right now and this really helped my understanding the material,awesome job im taking genetics right really helped understanding material
It is a great video and understandable. I considered this topic complex until I saw this video. Thank you for sharing,great video understandable considered topic complex saw video thank sharing
Nice! Thank you!,nice thank
"That’s why they are testing 
Made the virus release in the world 🌍 :( Dan made vaccine 💉 and turned whole world 🌎 in lab 🥼 🧪 🧫 rats 🐀 with this vaccines 💉 :(
Is the only way to test this technology for free :(",thats testing made virus release world dan made vaccine turned whole world lab rat vaccine way test technology free
Can't wait to create x men 😂😂😂,cant wait create x men
literally the best and most clear video of this topic,literally best clear video topic
[GROW A PET!],grow pet
WE COULD MAKE A FORTUANE WITH THIS TECH! BUT SOMEBODY USES IT TO MAKE PET PLANTS? OHH SHIT! THERES A GIANT GREEN LABRADOUR LOCKED UP IN THE CLOSET OUT OF THE SOIL AND EVERYTHING! OHH SHIT! MUST HAVE BEEN A CAT? THE GIANT GREEN DOGS? THERE BARK IS WORSE THAN THEIR BITE!,could make fortuane tech somebody us make pet plant ohh shit there giant green labradour locked closet soil everything ohh shit must cat giant green dog bark worse bite
"Hi sir, please make a video on PAM",hi sir please make video pam
I wonder if celebs and the ultra wealthy are already using this technology to create designer babies,wonder celebs ultra wealthy already using technology create designer baby
I've seen the real thing done in a lab.  Anyone with 5 minutes of training can do it.  It's in silica.  So if you like to spin cells add a caustic element run a PCR amplification and then in silica show the procedure done go for it.  But it amounts to nothing.  It's literally imaginary.  Go ahead and be amazed by explanations and animations but watch it done in the lab.  And tell me you believe it after that.  It's nothing.,ive seen real thing done lab anyone minute training silica like spin cell add caustic element run pcr amplification silica show procedure done go amount nothing literally imaginary go ahead amazed explanation animation watch done lab tell believe nothing
Dude. You look tired. Iʻd be too if I was teaching the whole freaking world.,dude look tired id teaching whole freaking world
I though CRISPR was the technology that makes illigal Aliens US Citizens without all the Bureaucratic Red Tape??,though crispr technology make illigal alien u citizen without bureaucratic red tape
"In response to ""was it helpful?"", well I'm using this video to prepare my A levels biology lecture.",response helpful well im using video prepare level biology lecture
"This is how the Human race will destroy itself. My generation thought it would be physics. Now we know it will be molecular biology. We have seen the face of evil.  Unfortunately, the fools writing comments will be in control of regulating this monster. As you can see, they are utterly clueless.",human race destroy generation thought would physic know molecular biology seen face evil unfortunately fool writing comment control regulating monster see utterly clueless
interesting,interesting
You people are sick assholes you make it sound so great but show the downside,people sick asshole make sound great show downside
amazingly simplified and comprehensible!,amazingly simplified comprehensible
You nailed it <3 wow. Thank you. Now I know my ABC :D,nailed wow thank know abc
yes it was helpful:),yes helpful
"Excellent video, Bravo",excellent video bravo
doing a biology lab rn and all i can think of is how the dna looks like noodles :),biology lab rn think dna look like noodle
absolutely amazing explanation!,absolutely amazing explanation
MONSTER,monster
wow. You were right. Most of the other videos were too simple. This was perfectly explained,wow right video simple perfectly explained
"I have been reading and reading about this but I have a question that I simply cannot find the answer to: When editing a developed organism, what is the vehicle for SPREADING this change throughout?  Every lecture and article tells me what happens in a single cell, but how does this change then spread? Do we just need to inject a large amount of the gRNA and Cas9 at once? Or is there a way to make a small change spread to other cells, like a virus.  If anyone knows, please answer.  I'm a sci-fi writer and I'm trying to get to the bottom of this to accurately represent a hypothetical situation in my plot.",reading reading question simply find answer editing developed organism vehicle spreading change throughout every lecture article tell happens single cell change spread need inject large amount grna ca way make small change spread cell like virus anyone know please answer im scifi writer im trying get bottom accurately represent hypothetical situation plot
"wow!!! I sure need to review the normal DNA before understanding this!!! Very complex!
Sounds very interesting",wow sure need review normal dna understanding complex sound interesting
"Wow crazy how this video was made 5 years ago, this years going to see a lot of CRISPR trials starting, finally get to see how effective this tech is going to be",wow crazy video made year ago year going see lot crispr trial starting finally get see effective tech going
"It's the ""amalgamation""",amalgamation
"Could CRISPR be what they used to ""create"" covid 19 in a lab?",could crispr used create covid lab
